question_order,question_label,model_id,model_label,n,mean_score,baseline_mean,mean_score_pct,baseline_mean_pct,signed_diff,mae,normalized_mae,exact_match_rate,within_1_point_rate
6,Q6 List methods,deepseek-v4-flash,DeepSeek V4 Flash,116,3.1810344827586206,3.189655172413793,0.7952586206896551,0.7974137931034483,-0.008620689655172414,0.0603448275862069,0.015086206896551725,0.9396551724137931,1.0
6,Q6 List methods,deepseek-v4-pro,DeepSeek V4 Pro,116,3.1724137931034484,3.189655172413793,0.7931034482758621,0.7974137931034483,-0.017241379310344827,0.06896551724137931,0.017241379310344827,0.9310344827586207,1.0
14,Q14 Explain coherence,deepseek-v4-flash,DeepSeek V4 Flash,118,1.271186440677966,1.4915254237288136,0.635593220338983,0.7457627118644068,-0.22033898305084745,0.3050847457627119,0.15254237288135594,0.6949152542372882,1.0
14,Q14 Explain coherence,deepseek-v4-pro,DeepSeek V4 Pro,118,1.0423728813559323,1.4915254237288136,0.5211864406779662,0.7457627118644068,-0.4491525423728814,0.5254237288135594,0.2627118644067797,0.3135593220338983,0.9491525423728814
17,Q17 Adv./Disadv.,deepseek-v4-flash,DeepSeek V4 Flash,119,3.5588235294117645,3.907563025210084,0.8897058823529411,0.976890756302521,-0.3487394957983193,0.3487394957983193,0.08718487394957983,0.7310924369747899,0.9243697478991597
17,Q17 Adv./Disadv.,deepseek-v4-pro,DeepSeek V4 Pro,119,3.638655462184874,3.907563025210084,0.9096638655462185,0.976890756302521,-0.2689075630252101,0.2689075630252101,0.06722689075630252,0.7815126050420168,0.9243697478991597
